variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,64,20.0,0.1,100.0,0.85,68.2024,0.5533,4.820894e-22,0.6373,0.6373,0.6131,0.6786,0.0598,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,100.0,0.95,68.2024,0.5609,4.813554e-22,0.6523,0.6523,0.6113,0.6827,0.0501,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,150.0,0.7,68.3035,0.6258,5.616081e-23,0.6028,0.6062,0.5093,0.6027,-0.1169,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,150.0,0.85,68.3035,0.6541,5.533295e-23,0.6612,0.6613,0.5001,0.6053,-0.1543,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,150.0,0.95,68.3035,0.6661,5.594173e-23,0.6907,0.6907,0.4944,0.6057,-0.1726,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,250.0,0.7,76.6001,0.6372,4.849113e-24,0.5450,0.5687,0.3679,0.4904,-0.2709,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,250.0,0.85,59.3999,0.6159,3.488571e-24,0.6063,0.6219,0.3472,0.4602,-0.2682,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,250.0,0.95,59.3999,0.6109,3.536767e-24,0.6596,0.6596,0.3384,0.4490,-0.2725,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,100.0,0.7,66.3811,0.6269,8.455049e-23,0.5994,0.6022,0.4275,0.5626,-0.1992,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,100.0,0.85,66.3811,0.6619,8.333059e-23,0.6603,0.6603,0.4125,0.5342,-0.2505,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,100.0,0.95,66.3811,0.6745,8.377126e-23,0.6915,0.6915,0.4046,0.5229,-0.2714,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,150.0,0.7,73.1601,0.6348,9.366070e-24,0.5318,0.5559,0.3250,0.4664,-0.3070,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,150.0,0.85,73.1601,0.6155,9.503372e-24,0.6123,0.6123,0.3027,0.4150,-0.3170,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,150.0,0.95,62.8399,0.6064,7.887685e-24,0.6567,0.6567,0.2907,0.3934,-0.3151,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,250.0,0.7,63.9529,0.4287,7.111138e-25,0.3349,0.4420,0.2468,0.3999,-0.1839,0.0001,0.0001,1.0000,0.0001,True,False,marginal,marginal
primary,64,20.0,0.2,250.0,0.85,59.3999,0.4068,6.818353e-25,0.4311,0.4640,0.2053,0.3000,-0.2023,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.2,250.0,0.95,59.3999,0.3888,7.215262e-25,0.4786,0.4786,0.1867,0.2606,-0.2014,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,1024,5.0,0.05,100.0,0.7,68.2024,0.4228,1.580377e-20,0.5410,0.5410,,,,,,,,,,,
primary,1024,5.0,0.05,100.0,0.85,68.2024,0.4232,1.582677e-20,0.5419,0.5419,,,,,,,,,,,
primary,1024,5.0,0.05,100.0,0.95,68.0000,0.4235,1.578761e-20,0.5424,0.5424,,,,,,,,,,,
primary,1024,5.0,0.05,150.0,0.7,68.0000,0.5004,2.453996e-21,0.6102,0.6102,,,,,,,,,,,
primary,1024,5.0,0.05,150.0,0.85,68.0000,0.5015,2.442713e-21,0.6125,0.6125,,,,,,,,,,,
primary,1024,5.0,0.05,150.0,0.95,68.0000,0.5020,2.451598e-21,0.6137,0.6137,,,,,,,,,,,
primary,1024,5.0,0.05,250.0,0.7,69.0118,0.5701,3.020557e-22,0.6551,0.6551,,,,,,,,,,,
primary,1024,5.0,0.05,250.0,0.85,68.0000,0.5720,2.990203e-22,0.6605,0.6605,,,,,,,,,,,
primary,1024,5.0,0.05,250.0,0.95,68.5059,0.5728,2.996582e-22,0.6628,0.6631,,,,,,,,,,,
primary,1024,5.0,0.1,100.0,0.7,68.2024,0.4778,5.981737e-21,0.5912,0.5912,,,,,,,,,,,
primary,1024,5.0,0.1,100.0,0.85,68.2024,0.4790,5.953340e-21,0.5937,0.5937,,,,,,,,,,,
primary,1024,5.0,0.1,100.0,0.95,68.2024,0.4797,5.990994e-21,0.5950,0.5950,,,,,,,,,,,
primary,1024,5.0,0.1,150.0,0.7,68.3035,0.5406,8.659453e-22,0.6358,0.6358,,,,,,,,,,,
primary,1024,5.0,0.1,150.0,0.85,68.3035,0.5434,8.660346e-22,0.6421,0.6421,,,,,,,,,,,
primary,1024,5.0,0.1,150.0,0.95,68.3035,0.5445,8.635953e-22,0.6449,0.6449,,,,,,,,,,,
primary,1024,5.0,0.1,250.0,0.7,71.0353,0.5914,1.021304e-22,0.6542,0.6542,,,,,,,,,,,
